Month,Year,Event Date and Time,Restoration Date and Time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected
10.0,2018,10/31/2018  7:30 PM,11/01/2018  6:55 PM,"23 Hours, 25 Minutes",CenterPoint Energy,TRE,Texas: Harris County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",402,140932
11.0,2018,11/03/2018  5:20 PM,11/04/2018  2:30 PM,"21 Hours, 10 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: New Hampshire: Vermont: Maine: Rhode Island:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,62000
11.0,2018,11/06/2018  9:49 AM,11/09/2018  2:05 PM,"76 Hours, 16 Minutes",Tennessee Valley Authority,SERC,Tennessee:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,61000
11.0,2018,11/08/2018  7:16 AM,11/28/2018  4:32 PM,"489 Hours, 16 Minutes",Pacific Gas & Electric Co,WECC,California: Butte County;,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system-Natural Disaster/Transmission Interruption,32,11844
11.0,2018,11/10/2018  5:02 PM,11/14/2018  3:00 PM,"93 Hours, 58 Minutes",WPSC,MRO,Wisconsin:,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,0,0
11.0,2018,11/15/2018  3:23 AM,11/15/2018  5:35 PM,"14 Hours, 12 Minutes",LG&E KU,SERC,Kentucky:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,150000
11.0,2018,11/15/2018  5:28 AM,11/15/2018  8:35 AM,"3 Hours,  7 Minutes",Duke Energy Midwest,RF,Indiana:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,55000
11.0,2018,11/15/2018  5:38 AM,11/16/2018  6:00 AM,"24 Hours, 22 Minutes",Duke Energy Midwest,SERC,Kentucky: Ohio:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,104000
11.0,2018,11/15/2018 10:50 AM,11/17/2018  1:12 PM,"50 Hours, 22 Minutes",American Electric Power - (RFC Reliability Region),RF,Virginia: West Virginia:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,50600
11.0,2018,11/25/2018 10:30 PM,11/28/2018  8:17 PM,"69 Hours, 47 Minutes",ComEd,SERC,"Illinois: Will County, DuPage County, Kane County, McHenry County, Winnebago County, Ogle County, DeKalb County, Lee County, Grundy County, Lake County, Cook County, Livingston County, Stephenson County, LaSalle County, Kankakee County, Kendall County, Boone County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,313448
11.0,2018,11/27/2018  8:00 AM,11/28/2018  4:50 PM,"32 Hours, 50 Minutes",ISO New England,NPCC,Maine: New Hampshire: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,32000
12.0,2018,12/03/2018  3:15 AM,12/03/2018  3:44 AM,"0 Hours, 29 Minutes",ERCOT,TRE,Texas:,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission Interruption",16,Unknown
12.0,2018,12/09/2018 12:23 AM,12/09/2018 11:54 AM,"11 Hours, 31 Minutes",Southern Company,SERC,Alabama: Georgia:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",137,41126
12.0,2018,12/09/2018  3:35 AM,12/10/2018 11:45 PM,"44 Hours, 10 Minutes",Duke Energy Carolinas,SERC,North Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather/Transmission Interruption",Unknown,50000
12.0,2018,12/09/2018  8:41 AM,12/09/2018  6:00 PM,"9 Hours, 19 Minutes",Duke Energy Progress,SERC,North Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,70000
12.0,2018,12/14/2018  4:00 PM,12/17/2018  2:00 AM,"58 Hours,  0 Minutes",Puget Sound Energy,WECC,"Washington: King County, Kitsap County, Island County, Pierce County, Thurston County, Whatcom County, Skagit County, Kittitas County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,150000
12.0,2018,12/14/2018  6:00 PM,.        .,". Hours,  . Minutes",Snohomish County PUD No. 1,WECC,Washington: Snohomish County;,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",200,60000
12.0,2018,12/20/2018  9:30 AM,12/20/2018  5:00 PM,"7 Hours, 30 Minutes",Puget Sound Energy,WECC,"Washington: Skagit County, Snohomish County, King County, Kitsap County, Island County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,165000
12.0,2018,12/27/2018  9:12 PM,12/27/2018  9:16 PM,"0 Hours,  4 Minutes",Consolidated Edison Co-NY Inc.,NPCC,New York: New York County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission Interruption",Unknown,Unknown
,"Note: Customers affected are estimates and are preliminary.
Source: Form OE-417, 'Electric Emergency Incident and Disturbance Report.'",,,,,,,,,
